1,2,3,4,5,6
9,3,0,150,2600000,16
4,1,0,140,3600000,16
4,1,0,100,750000,16
4,1,0,200,6500000,16
5,1,0,250,19000000,16
5,1,0,120,7500000,16
4,1,0,187,4500000,16
4,1,0,130,8500000,16
2,2,1,95,1100000,16
5,1,0,490,19900000,16
6,2,0,270,9500000,16
4,1,0,138,5200000,16
3,2,0,200,2800000,16
1,1,1,110,1350000,16
5,,0,45,62000000,16
4,1,0,650,50000000,16
4,1,0,150,7700000,16
5,1,0,120,7500000,16
1,1,0,286,10500000,16
4,1,1,170,5499000,16
5,2,0,600,15500000,16
2,2,1,552,14000000,16
2,2,1,350,1725000,16
4,1,2,165,7999900,16
2,1,0,325,12000000,16
2,1,0,365,7750000,16
3,1,1,179,8000000,16
4,2,0,230,21490000,16
4,,2,216,17900000,16
3,2,1,247,2500000,16
2,2,1,120,2000000,16
5,1,0,907,15750000,16
3,2,0,550,17500000,16
4,1,0,120,3800000,16
4,1,0,700,25250000,16
5,1,0,120,5500000,16
3,1,0,400,24000000,16
5,1,0,251,8650000,16
2,2,0,300,5500000,16
2,1,1,60,539000,16
4,3,0,105,2150000,16
6,2,0,410,16750000,16
7,,2,12,170000000,16
3,1,3,246,2250000,16
4,1,0,115,3350000,16
5,1,0,185,7950000,16
3,1,0,158,6650000,16
3,1,0,90,3750000,16
3,3,1,170,3500000,16
2,1,1,120,3800000,16
3,1,0,561,6250000,16
9,,4,15,150000000,16
4,1,1,145,5480000,16
5,,2,1,75000000,16
3,1,0,130,3200000,16
3,2,0,170,12990000,16
2,3,0,1,17000000,16
4,4,0,2,49000000,16
3,1,1,120,2600000,16
2,2,0,548,30000000,16
3,1,0,120,6000000,16
3,1,0,130,8400000,16
4,1,1,100,3500000,16
2,1,0,90,2100000,16
3,1,1,125,2995000,16
1,1,1,105,890000,16
4,1,0,1,26000000,16
4,4,2,220,13750000,16
5,3,0,170,75000000,16
2,2,1,50,670000,16
6,,2,227,40000000,16
3,4,2,800,25000000,16
3,1,1,125,2750000,16
3,1,0,320,5500000,16
2,1,0,170,3000000,16
3,1,1,130,1750000,16
3,1,0,350,5925000,16
3,1,1,165,4650000,16
2,1,1,138,2210000,16
3,1,0,350,12000000,16
5,1,1,350,12000000,16
4,1,2,80,3000000,16
4,1,0,225,10000000,16
4,2,0,216,13000000,16
2,2,1,103,2250000,16
2,1,1,55,680000,16
5,1,0,145,6250000,16
3,2,0,170,13750000,16
4,1,0,900,22000000,16
5,1,4,1,35000000,16
5,,2,600,35000000,16
2,2,1,65,1350000,16
4,2,4,950,12500000,16
3,1,0,350,16500000,16
4,1,0,400,18000000,16
1,2,5,210,5250000,16
4,1,1,120,3200000,16
3,1,0,350,5925000,16
3,1,0,130,3900000,16
4,2,0,750,38000000,16
4,2,4,320,31000000,16
2,2,1,130,4000000,16
3,1,0,165,13500000,16
5,1,0,200,9500000,16
5,1,0,1,22750000,16
6,4,2,95,1350000,16
2,4,0,500,13000000,16
2,2,2,130,2400000,16
5,2,2,175,6500000,16
3,2,4,380,18500000,16
2,2,0,190,2180000,16
4,4,0,700,18500000,16
3,4,2,525,45000000,16
1,1,0,145,935000,16
5,1,0,180,10000000,16
4,2,0,600,29500000,16
4,4,0,180,4500000,16
5,1,0,166,8500000,16
5,,2,950,47000000,16
3,1,0,150,3200000,16
3,1,0,150,1350000,16
2,1,3,6,23750000,16
4,1,1,130,2800000,16
4,1,0,100,10500000,16
1,1,0,275,3200000,16
3,1,0,110,2300000,16
4,1,6,488,30000000,16
4,1,0,595,22250000,16
3,1,6,503,10500000,16
5,,2,100,45000000,16
